i j t
26 174 0
26 180 0
26 12 0
26 223 0
26 225 0
26 225 0
280 151 0
280 151 0
225 26 0
26 69 0
26 256 0
26 223 0
26 64 0
26 121 0
26 18 0
26 307 0
26 208 0
26 9 0
26 256 0
26 127 0
26 174 0
28 4 0
26 81 0
26 4 0
26 152 0
26 225 0
26 280 0
307 180 1
0 106 1
186 90 1
90 274 1
306 230 1
151 280 1
18 307 1
69 223 1
26 225 1
223 225 1
18 208 1
90 98 1
307 28 1
0 259 1
3 79 1
230 258 1
262 74 1
300 74 1
199 90 1
90 199 1
90 186 1
97 230 1
82 232 1
269 300 1
269 33 1
269 75 1
269 274 1
269 93 1
269 230 1
82 232 1
230 74 1
306 274 1
18 208 1
230 15 1
230 90 1
230 32 1
230 143 1
230 264 1
230 23 1
230 281 1
230 82 1
230 33 1
230 183 1
230 274 1
230 169 1
230 150 1
306 274 1
180 152 1
3 284 1
178 304 1
132 3 1
2 284 1
2 132 1
132 2 1
310 3 1
284 3 1
267 184 1
252 86 1
7 279 1
83 299 1
83 299 1
242 250 1
242 253 1
94 252 1
83 228 1
277 135 1
118 279 1
118 279 1
94 252 1
116 173 1
116 253 1
57 130 1
13 279 1
13 279 1
253 242 1
305 299 1
116 173 1
116 253 1
299 305 1
21 145 1
71 283 1
283 71 1
21 145 1
50 267 1
79 267 1
295 310 1
132 284 1
132 134 1
78 132 1
3 240 1
3 6 1
3 184 1
3 71 1
3 112 1
3 38 1
3 16 1
3 257 1
40 80 1
3 134 1
3 27 1
3 50 1
93 274 1
3 295 1
3 85 1
3 314 1
3 161 1
3 145 1
3 267 1
3 120 1
3 310 1
3 283 1
3 132 1
71 283 1
3 78 1
93 33 1
304 178 1
21 145 2
78 161 2
161 240 2
161 78 2
161 145 2
161 310 2
161 267 2
161 145 2
161 295 2
161 184 2
161 240 2
132 284 2
132 2 2
79 50 2
50 79 2
184 161 2
79 50 2
79 184 2
21 145 2
21 145 2
21 145 2
79 184 2
2 284 2
2 132 2
21 145 2
21 145 2
132 133 2
38 50 2
38 295 2
38 161 2
38 267 2
184 79 2
21 145 2
0 259 2
11 175 2
11 175 2
199 186 2
279 228 2
279 7 2
228 47 2
47 228 2
131 113 2
90 199 2
116 173 2
267 50 2
267 79 2
310 161 2
72 276 2
116 228 2
7 279 2
116 253 2
184 79 2
90 48 2
151 280 2
93 82 2
93 230 2
75 274 2
150 230 2
180 152 2
208 28 2
75 232 2
208 28 2
26 92 2
12 251 2
251 12 2
28 285 2
9 225 2
151 280 2
180 307 2
184 161 2
184 267 2
33 274 2
194 291 2
194 291 2
278 13 2
234 117 2
116 278 2
116 278 2
228 279 2
160 63 2
144 7 2
178 304 2
178 304 2
178 304 2
253 242 2
304 178 2
184 240 2
160 249 2
279 228 2
194 291 2
194 291 2
40 80 2
0 259 2
200 52 2
200 52 2
58 193 2
194 80 2
58 270 2
58 83 2
159 317 2
58 45 2
58 200 2
58 254 2
58 52 2
278 116 2
278 253 2
58 301 2
161 184 3
236 7 3
228 116 3
90 258 3
90 74 3
90 167 3
236 162 3
90 220 3
90 15 3
52 104 3
90 77 3
90 167 3
90 74 3
90 258 3
90 230 3
90 93 3
90 150 3
90 274 3
90 97 3
90 99 3
90 88 3
90 48 3
90 186 3
90 75 3
90 183 3
90 98 3
90 33 3
90 39 3
90 82 3
90 262 3
90 281 3
90 23 3
90 199 3
90 264 3
90 43 3
90 143 3
90 306 3
90 300 3
90 77 3
52 104 3
299 108 3
200 52 3
295 50 3
295 161 3
295 267 3
78 283 3
295 184 3
132 284 3
132 284 3
50 79 3
79 50 3
50 267 3
284 16 3
161 310 3
310 161 3
16 284 3
284 16 3
284 132 3
284 132 3
16 284 3
284 38 3
284 161 3
161 310 3
161 267 3
161 145 3
161 184 3
161 284 3
161 38 3
160 249 3
103 160 3
249 160 3
295 38 3
316 122 3
240 161 3
280 53 3
278 122 3
89 276 3
161 145 3
89 276 3
161 267 3
161 310 3
161 78 3
161 78 3
79 267 3
79 267 3
310 184 3
310 161 3
310 145 3
310 267 3
310 145 3
299 305 3
310 145 3
38 284 3
38 161 3
151 280 3
151 280 3
28 285 3
28 251 3
53 280 3
180 152 3
90 230 3
18 208 3
26 4 3
280 174 3
180 152 3
90 93 3
90 98 3
90 274 3
90 306 3
90 300 3
90 220 3
90 15 3
306 230 3
306 97 3
90 143 3
306 59 3
306 230 3
306 97 3
306 59 3
306 90 3
274 33 3
199 186 3
306 90 3
90 43 3
90 264 3
90 199 3
90 274 3
90 97 3
90 99 3
90 88 3
90 48 3
90 186 3
90 75 3
90 183 3
90 98 3
90 33 3
90 39 3
90 82 3
90 262 3
90 150 3
90 23 3
7 144 3
7 279 3
7 279 3
236 173 3
278 122 3
316 309 3
299 158 3
316 116 3
309 236 3
305 299 3
116 253 3
278 200 3
13 236 3
7 279 3
279 7 3
7 263 3
202 128 3
108 299 3
299 305 3
158 299 3
90 150 3
116 253 3
116 236 3
80 194 3
194 80 3
51 190 3
51 80 3
236 228 3
236 263 3
236 122 3
236 94 3
236 116 3
236 309 3
236 253 3
236 13 3
236 315 3
253 236 3
116 228 3
116 173 3
90 93 3
90 281 3
306 97 3
199 90 3
90 199 3
269 300 3
269 33 3
306 59 3
269 274 3
269 93 3
269 230 3
90 258 3
258 90 3
306 90 3
199 186 3
306 230 3
306 97 3
306 59 3
306 90 3
306 230 3
306 59 3
306 97 3
306 230 3
306 90 3
306 59 3
306 230 3
306 90 3
306 97 3
90 77 3
90 167 3
269 75 3
90 258 3
90 97 3
90 99 3
90 88 3
90 48 3
90 186 3
90 75 3
90 183 3
160 249 3
90 33 3
90 39 3
90 74 3
90 262 3
90 281 3
90 23 3
90 82 3
90 15 3
90 230 3
90 199 3
90 264 3
90 43 3
90 143 3
90 306 3
90 300 3
90 220 3
160 249 4
160 249 4
160 63 4
160 317 4
160 60 4
160 159 4
160 249 4
160 249 4
160 249 4
249 160 4
160 103 4
249 160 4
160 249 4
249 160 4
103 159 4
194 80 4
242 279 4
194 291 4
299 170 4
116 253 4
116 253 4
234 279 4
158 162 4
158 83 4
158 25 4
158 202 4
158 101 4
52 104 4
158 45 4
279 242 4
202 128 4
202 209 4
279 234 4
144 7 4
86 24 4
209 299 4
86 24 4
279 242 4
158 315 4
194 40 4
52 104 4
131 113 4
194 247 4
194 80 4
194 291 4
291 194 4
291 40 4
291 51 4
194 291 4
242 279 4
94 236 4
263 7 4
200 52 4
24 252 4
202 158 4
278 173 4
278 242 4
252 154 4
279 278 4
252 189 4
252 189 4
278 279 4
200 254 4
160 249 4
2 132 4
79 283 4
269 274 4
269 93 4
269 230 4
90 15 4
90 220 4
90 300 4
90 306 4
90 143 4
90 43 4
90 264 4
90 199 4
90 23 4
90 281 4
90 262 4
90 82 4
90 39 4
90 33 4
90 74 4
90 258 4
90 230 4
90 93 4
90 150 4
90 274 4
269 75 4
90 97 4
90 88 4
90 48 4
90 186 4
90 75 4
90 183 4
90 98 4
90 99 4
269 33 4
269 300 4
230 97 4
161 284 4
161 132 4
132 161 4
78 161 4
283 50 4
78 161 4
266 145 4
161 78 4
284 132 4
284 132 4
284 2 4
284 132 4
78 161 4
161 78 4
284 132 4
90 167 4
132 284 4
310 161 4
230 75 4
230 59 4
230 306 4
230 269 4
230 97 4
230 306 4
132 134 4
93 230 4
132 2 4
132 284 4
161 78 4
161 50 4
120 161 4
21 145 4
132 145 4
160 249 4
90 77 4
223 28 4
78 50 4
78 161 4
161 50 4
161 78 4
3 132 4
132 2 4
132 2 4
161 120 4
50 283 4
283 50 4
78 161 4
132 284 4
79 283 4
283 79 4
132 2 4
310 38 4
38 310 4
132 2 4
132 284 4
132 2 4
180 152 4
12 28 4
251 28 4
132 2 4
180 292 4
86 252 5
53 307 6
78 161 6
86 252 6
86 252 6
86 252 6
86 24 6
318 249 7
306 90 7
306 59 7
306 97 7
306 230 7
0 259 7
160 249 7
28 18 7
28 151 7
28 307 7
28 285 7
208 28 7
208 28 7
208 28 7
28 12 7
208 28 7
236 173 7
225 176 7
225 176 7
21 145 7
280 174 7
21 145 7
21 145 7
38 79 7
150 232 7
160 249 7
150 232 7
79 38 7
160 249 7
103 60 7
21 145 7
28 9 7
176 223 7
176 223 7
280 53 7
194 80 7
40 80 7
80 40 7
258 82 7
262 300 7
300 262 7
150 232 7
262 300 7
269 300 7
160 249 7
269 75 7
269 274 7
269 93 7
269 230 7
90 98 7
143 232 7
262 300 7
199 220 7
161 310 7
267 50 7
79 38 7
300 262 7
269 33 7
279 122 7
279 104 7
304 178 7
94 278 7
173 236 7
108 104 7
108 315 7
108 209 7
108 241 7
94 236 7
202 209 7
202 128 7
178 304 7
158 299 7
253 236 7
7 104 7
307 53 7
304 178 7
236 315 7
278 236 7
173 236 7
299 209 7
299 228 7
104 7 7
200 254 7
200 254 7
200 250 7
200 45 7
200 83 7
200 270 7
200 58 7
228 299 7
173 242 7
202 128 7
202 128 7
173 236 7
278 236 7
236 13 7
104 279 7
236 309 7
86 252 7
86 252 7
252 86 7
52 254 7
279 7 7
116 270 7
13 236 7
116 57 7
116 13 7
116 35 7
116 270 7
116 228 7
236 253 7
310 161 7
236 7 7
236 116 7
236 94 7
236 122 7
236 263 7
236 162 7
236 228 7
7 144 7
116 236 7
252 86 7
21 145 8
21 145 8
21 145 8
266 145 8
21 145 8
161 79 8
79 161 8
38 79 8
21 145 8
21 145 8
79 38 8
79 238 8
238 79 8
21 145 8
161 267 8
238 79 8
103 249 8
306 230 8
160 159 8
160 249 8
159 160 8
159 249 8
160 249 8
160 249 8
103 63 8
103 60 8
103 159 8
291 255 8
291 255 8
40 291 8
53 280 8
208 28 8
151 54 8
180 18 8
151 280 8
160 103 8
160 249 8
160 159 8
160 60 8
53 174 8
30 54 8
269 93 8
269 230 8
0 76 8
279 242 8
306 90 8
269 274 8
53 280 8
269 75 8
269 300 8
0 227 8
199 143 8
306 59 8
306 97 8
288 111 8
160 63 8
160 317 8
269 33 8
151 280 8
40 291 8
180 18 8
291 80 8
52 254 8
158 52 8
52 158 8
279 211 8
12 28 8
279 13 8
116 253 8
116 173 8
194 80 8
51 80 8
242 173 8
241 228 8
51 80 8
40 291 8
194 80 8
40 291 8
26 225 8
28 12 8
28 307 8
28 151 8
28 18 8
28 9 8
40 291 8
26 4 8
69 223 8
53 280 8
279 228 8
242 173 8
228 241 8
280 53 8
80 51 8
157 185 9
200 250 9
21 145 9
160 159 9
288 233 9
200 58 9
279 308 9
279 211 9
279 122 9
278 116 9
116 278 9
242 173 9
103 160 9
249 160 9
160 249 9
160 63 9
160 249 9
103 60 9
159 160 9
288 233 9
200 52 9
18 28 9
21 145 9
152 280 9
130 25 9
279 173 9
173 279 9
200 52 9
117 45 9
25 130 9
200 254 9
13 279 9
21 145 9
21 145 9
21 145 9
21 145 9
283 79 9
50 267 9
38 79 9
279 10 9
278 200 9
253 47 9
184 295 9
21 145 9
134 284 9
134 85 9
134 132 9
145 21 9
80 40 9
190 194 9
79 283 9
194 190 9
194 80 9
194 40 9
194 291 9
40 80 9
21 145 9
21 145 9
21 145 9
194 291 9
79 267 9
79 38 9
21 145 9
0 259 9
306 90 9
306 59 9
306 75 9
306 97 9
306 230 9
90 230 9
269 230 9
230 90 9
26 225 9
18 180 9
151 280 9
9 28 9
280 151 9
180 18 9
151 280 9
180 307 9
280 151 9
269 93 9
269 75 9
21 145 9
21 145 9
21 145 9
21 145 9
21 145 9
38 161 9
38 78 9
269 274 9
38 283 9
161 79 9
50 38 9
99 90 9
90 99 9
90 43 9
269 300 9
269 33 9
161 145 9
180 307 9
6 218 10
161 79 10
267 161 10
79 161 10
79 145 10
79 161 10
134 284 10
134 85 10
134 132 10
184 295 10
78 3 10
85 134 10
85 132 10
283 115 10
267 145 10
161 145 10
161 79 10
120 310 10
120 284 10
120 161 10
78 79 10
78 231 10
78 79 10
79 161 10
79 161 10
112 184 10
231 78 10
161 145 10
161 267 10
16 132 10
157 185 10
249 160 10
66 300 10
223 69 10
249 160 10
249 160 10
160 318 10
51 80 10
194 291 10
160 159 10
249 160 10
160 159 10
306 230 10
306 90 10
230 90 10
199 186 10
90 199 10
199 90 10
199 186 10
199 220 10
180 18 10
180 298 10
180 298 10
18 307 10
180 18 10
307 18 10
307 127 10
30 28 10
53 298 10
180 298 10
160 103 10
160 249 10
69 223 10
200 254 10
160 63 10
160 317 10
160 60 10
116 253 10
116 173 10
128 202 10
52 104 10
279 7 10
173 242 10
202 209 10
202 128 10
242 173 10
116 253 10
160 159 10
116 173 10
104 52 10
279 308 10
279 211 10
131 113 10
173 242 10
25 277 10
279 7 10
25 130 10
278 173 10
253 173 10
253 116 10
253 173 10
79 267 11
79 267 11
161 145 11
262 74 11
0 106 11
0 106 11
161 267 11
157 185 11
151 152 11
161 79 11
157 185 12
0 259 12
0 106 12
281 82 12
132 85 12
184 284 12
7 279 12
132 134 12
93 33 13
90 306 13
90 230 13
0 259 13
0 259 13
0 259 13
7 279 13
158 202 13
279 228 13
0 259 13
241 315 13
90 230 13
52 158 13
13 279 13
35 116 13
202 128 13
13 211 13
13 211 13
13 279 13
202 209 13
202 128 13
279 189 13
279 242 13
278 236 13
279 242 13
160 249 13
7 279 13
158 57 13
173 242 13
202 128 13
7 279 13
299 83 13
93 33 13
269 300 13
269 33 13
269 75 13
269 274 13
269 93 13
269 230 13
186 143 13
279 7 13
160 249 13
132 238 13
160 249 13
28 195 13
28 141 13
28 127 13
28 280 13
28 208 13
28 18 13
28 307 13
28 26 13
28 12 13
28 285 13
28 223 13
26 92 13
28 280 13
28 81 13
28 152 13
28 176 13
28 64 13
52 254 13
202 128 13
52 158 13
151 54 13
28 223 13
28 69 13
9 127 13
28 26 13
194 80 13
194 40 13
194 291 13
194 247 13
249 160 13
28 30 13
80 40 13
152 28 13
28 151 13
93 274 13
50 267 13
184 132 13
2 132 13
161 267 13
314 112 13
50 115 13
132 2 13
16 238 13
16 132 13
132 184 13
94 252 13
132 16 13
132 2 13
152 151 13
16 2 13
283 6 13
93 274 13
2 132 13
184 161 13
159 160 13
159 160 13
160 249 13
310 161 13
161 145 13
161 267 13
249 160 13
184 295 13
184 161 13
21 145 13
21 145 13
238 79 13
6 133 13
161 79 13
279 242 14
202 158 14
13 211 14
108 241 14
108 209 14
108 315 14
108 104 14
279 278 14
13 211 14
279 278 14
242 173 14
116 35 14
158 52 14
279 252 14
13 279 14
13 211 14
13 279 14
279 278 14
279 228 14
57 173 14
158 189 14
242 173 14
108 241 14
83 299 14
83 209 14
202 158 14
116 173 14
116 270 14
116 253 14
116 35 14
116 57 14
241 252 14
278 236 14
57 270 14
57 116 14
57 253 14
57 35 14
116 57 14
279 7 14
202 128 14
53 174 14
82 281 14
80 40 14
63 160 14
26 225 14
152 151 14
4 12 14
12 4 14
4 12 14
12 4 14
4 12 14
160 317 14
160 60 14
69 121 14
28 285 14
30 26 14
26 30 14
160 159 14
50 161 14
194 291 14
194 40 14
291 80 14
80 291 14
249 318 14
160 159 14
249 160 14
0 259 14
249 160 14
60 160 14
194 291 14
194 80 14
50 267 14
194 80 14
291 80 14
194 190 14
194 291 14
194 40 14
194 80 14
194 291 14
40 194 14
194 40 14
291 194 14
132 238 14
160 63 14
132 2 14
103 159 14
160 318 14
249 160 14
249 160 14
81 226 14
294 274 14
294 274 14
269 230 14
132 134 14
132 16 14
269 75 14
269 33 14
269 300 14
300 262 14
264 75 14
82 230 14
230 33 14
230 33 14
269 274 14
132 284 14
269 93 14
184 295 14
132 134 14
267 184 14
6 314 14
161 295 14
314 134 14
161 267 14
160 249 14
160 103 14
112 314 14
288 233 14
310 120 14
132 284 14
79 238 14
132 184 14
184 132 14
238 79 14
161 184 14
161 267 14
134 132 14
0 106 15
0 227 15
0 76 15
161 283 15
161 184 15
161 267 15
209 299 15
306 90 15
161 79 15
306 59 15
300 74 15
306 230 15
306 90 15
306 59 15
306 97 15
202 128 15
0 259 15
0 259 15
33 274 15
274 294 15
52 158 15
306 97 15
209 202 15
161 240 15
7 279 15
57 35 15
173 242 15
173 116 15
173 253 15
35 116 15
253 35 15
7 144 15
277 188 15
279 13 15
116 35 15
7 263 15
9 127 15
35 116 15
116 35 15
7 279 15
7 228 15
7 263 15
7 25 15
7 279 15
278 236 15
278 279 15
278 279 15
253 278 15
131 113 15
13 279 15
279 7 15
30 26 15
208 28 15
7 279 15
26 225 15
26 225 15
26 9 15
208 18 15
225 256 15
225 163 15
225 26 15
225 307 15
225 191 15
225 18 15
26 30 15
225 9 15
225 127 15
26 9 15
26 225 15
9 26 15
9 225 15
4 12 15
12 4 15
28 195 15
4 12 15
12 4 15
4 12 15
225 208 15
208 28 15
306 230 15
249 160 15
194 80 15
190 291 15
190 291 15
190 291 15
233 288 15
161 267 15
134 132 15
134 132 15
238 284 15
283 50 15
238 284 15
238 132 15
161 184 15
132 134 15
161 184 15
50 78 15
134 132 15
132 134 15
132 238 15
132 284 15
79 184 15
79 267 15
161 184 15
249 160 15
159 318 15
202 209 15
160 63 15
63 60 15
160 249 15
160 317 15
160 60 15
160 249 15
160 103 15
160 159 15
160 317 15
160 60 15
160 249 15
160 103 15
249 160 15
160 63 15
151 54 16
38 78 16
26 225 16
26 225 16
53 280 16
90 33 16
38 50 16
38 161 16
38 120 16
38 134 16
53 174 16
21 145 16
278 200 16
159 160 16
249 160 16
278 253 16
116 278 16
90 75 16
38 283 16
86 252 16
35 57 16
234 25 16
7 279 16
21 145 16
132 134 16
6 133 16
161 295 16
269 230 16
269 93 16
269 274 16
269 75 16
269 33 16
51 80 16
291 51 16
80 291 16
80 291 16
80 291 16
194 190 16
190 291 16
269 300 16
269 97 16
274 75 16
90 143 16
132 134 16
7 279 16
132 133 16
112 120 16
112 161 16
112 284 16
133 132 16
132 133 16
279 25 16
299 83 16
83 301 16
252 144 16
83 299 16
160 63 16
160 249 16
90 264 16
78 50 16
38 78 16
78 38 16
132 284 16
116 35 16
21 145 16
21 145 16
21 145 16
79 267 16
21 145 16
21 145 16
21 145 16
262 74 16
33 274 16
90 199 16
21 145 16
10 252 16
7 25 16
252 10 16
144 7 16
144 7 16
144 7 16
279 104 16
263 7 16
131 113 16
7 263 16
249 160 16
7 228 16
7 25 16
242 250 16
104 279 16
242 250 16
7 228 16
7 263 16
158 52 16
7 279 16
252 10 16
252 20 16
90 230 16
144 7 16
279 118 17
161 284 17
13 278 17
79 161 17
13 279 17
279 104 17
279 13 17
279 236 17
236 279 17
263 7 17
116 173 17
116 253 17
116 253 17
279 242 17
279 250 17
200 52 17
7 263 17
79 161 17
79 145 17
79 267 17
279 228 17
161 284 17
79 161 17
161 267 17
161 79 17
38 283 17
161 79 17
79 161 17
161 79 17
202 128 17
278 116 17
116 278 17
236 228 17
161 79 17
161 145 17
306 97 17
208 28 17
90 88 17
90 48 17
90 186 17
90 75 17
90 183 17
90 98 17
90 33 17
151 152 17
90 82 17
90 262 17
90 281 17
90 23 17
90 199 17
90 264 17
90 43 17
90 143 17
90 306 17
90 300 17
90 220 17
90 99 17
90 15 17
90 97 17
90 150 17
288 233 17
249 160 17
160 249 17
249 160 17
160 63 17
160 317 17
160 60 17
160 249 17
160 103 17
249 160 17
160 63 17
160 249 17
249 160 17
90 77 17
90 167 17
90 74 17
90 258 17
90 230 17
90 93 17
90 274 17
183 300 17
90 39 17
184 295 17
267 184 17
26 285 17
26 225 17
225 26 17
26 225 17
300 183 17
298 26 17
26 225 17
26 298 17
26 225 17
223 26 17
256 191 17
26 223 17
26 4 17
26 4 17
208 28 17
4 26 17
28 26 17
28 18 17
38 295 17
38 161 17
1 196 17
16 284 17
306 59 17
306 90 17
184 295 17
300 33 17
33 300 17
78 238 17
295 184 17
184 295 17
238 78 17
230 274 17
161 295 17
11 175 18
228 278 19
144 7 19
228 236 19
307 28 19
307 69 19
307 208 19
144 7 19
144 7 19
307 18 19
307 127 19
228 101 19
0 106 19
283 50 20
132 2 20
184 295 20
134 132 20
134 284 20
134 133 20
314 132 20
132 314 20
132 134 20
283 50 20
21 145 20
21 145 20
134 38 20
2 132 20
295 184 20
38 161 20
184 295 20
238 266 20
267 50 20
161 38 20
161 38 20
50 267 20
21 145 20
281 90 20
258 66 20
16 2 20
160 249 20
160 63 20
160 317 20
160 60 20
160 249 20
160 103 20
160 63 20
160 317 20
160 60 20
160 159 20
160 249 20
160 103 20
160 63 20
281 82 20
160 317 20
160 159 20
160 249 20
160 103 20
160 249 20
300 33 20
93 183 20
93 183 20
269 230 20
269 93 20
269 274 20
269 75 20
269 33 20
269 300 20
90 281 20
160 60 20
16 132 20
133 50 20
263 304 20
202 209 20
242 173 20
173 242 20
116 253 20
116 173 20
128 202 20
189 279 20
158 202 20
242 173 20
164 104 20
299 228 20
118 279 20
242 250 20
202 158 20
202 158 20
278 228 20
278 236 20
278 13 20
278 173 20
250 158 20
80 40 20
80 194 20
200 52 20
299 83 20
299 252 20
299 301 20
209 299 20
10 252 20
7 279 20
304 263 20
278 13 20
278 253 20
278 116 20
202 158 20
263 236 20
234 299 20
116 13 20
116 278 20
13 278 20
13 116 20
13 278 20
263 260 20
263 172 20
252 215 20
104 13 20
299 304 20
299 279 20
299 101 20
299 108 20
291 194 20
291 51 20
299 118 20
69 307 20
280 53 20
26 307 20
298 109 20
4 26 20
307 26 20
26 307 20
307 26 20
26 196 20
225 18 20
26 1 20
307 26 20
28 285 20
208 307 20
223 225 20
307 208 20
152 280 20
307 69 20
69 307 20
26 307 20
28 151 20
28 53 20
2 132 21
116 173 21
116 253 21
189 25 21
173 116 21
173 253 21
252 215 21
278 236 21
202 209 21
116 278 21
278 116 21
299 209 21
189 252 21
202 128 21
202 209 21
284 2 21
209 202 21
7 279 21
2 16 21
132 284 21
132 2 21
132 284 21
2 132 21
134 132 21
134 284 21
134 133 21
284 132 21
161 284 21
79 283 21
134 284 21
2 284 21
252 189 21
79 267 21
269 230 21
2 132 21
314 284 21
2 284 21
267 283 21
120 184 21
120 184 21
283 267 21
2 132 21
2 284 21
2 132 21
6 284 21
283 79 21
2 284 21
283 79 21
79 283 21
132 284 21
132 314 21
132 2 21
132 284 21
132 16 21
284 2 21
79 283 21
284 314 21
284 6 21
284 161 21
284 132 21
132 284 21
132 2 21
284 132 21
314 284 21
284 132 21
284 161 21
284 132 21
132 284 21
132 284 21
132 284 21
284 2 21
284 132 21
283 79 21
284 132 21
132 2 21
132 284 21
284 132 21
314 132 21
284 2 21
284 132 21
304 263 21
131 113 21
284 132 21
278 236 21
53 280 21
284 132 21
132 2 21
132 2 21
16 2 21
16 132 21
93 59 21
300 33 21
263 304 21
262 300 21
300 33 21
33 232 21
33 300 21
280 53 21
98 186 21
93 300 21
82 281 21
80 194 21
80 40 21
59 217 21
90 167 21
0 214 21
143 186 21
159 160 21
160 103 21
160 249 21
160 159 21
160 60 21
0 259 21
160 317 21
280 53 21
180 152 21
131 113 21
263 7 21
299 209 21
108 104 21
108 315 21
108 209 21
108 241 21
269 93 21
269 274 21
143 220 21
269 75 21
2 284 21
269 33 21
53 280 21
269 300 21
11 175 21
11 175 21
63 160 21
160 63 21
208 28 21
223 225 21
225 223 21
307 223 21
223 307 21
223 307 21
223 127 21
307 223 21
307 127 21
269 59 21
11 175 21
80 51 22
291 190 22
160 63 22
63 160 22
160 63 22
160 317 22
160 60 22
160 159 22
160 249 22
291 190 22
160 103 22
80 190 22
80 255 22
194 190 22
194 80 22
194 40 22
194 291 22
291 194 22
80 291 22
160 63 22
13 253 22
80 194 22
75 274 22
93 300 22
306 90 22
306 90 22
306 59 22
306 97 22
306 230 22
199 220 22
300 93 22
269 230 22
307 208 22
307 225 22
307 208 22
307 18 22
180 152 22
18 307 22
152 180 22
307 18 22
208 307 22
180 152 22
307 18 22
80 40 22
269 93 22
269 75 22
13 278 22
151 280 22
151 280 22
300 262 22
262 300 22
63 160 22
230 269 22
230 306 22
230 59 22
269 274 22
230 97 22
300 262 22
300 93 22
90 143 22
90 199 22
90 150 22
150 90 22
90 150 22
269 300 22
269 33 22
90 274 22
151 54 22
151 280 22
254 52 22
161 284 22
314 132 22
161 78 22
2 132 22
132 145 22
314 132 22
50 267 22
78 161 22
50 267 22
120 284 22
50 38 22
267 184 22
267 184 22
132 284 22
279 242 22
57 242 22
57 242 22
189 252 22
2 132 22
132 314 22
132 284 22
184 284 22
7 279 22
7 263 22
252 189 22
173 242 22
173 242 22
116 270 22
202 128 22
202 209 22
13 278 22
173 242 22
173 116 22
173 253 22
116 173 22
116 253 22
228 101 22
86 252 22
279 250 22
13 278 22
279 7 22
161 267 22
194 190 23
190 194 23
194 190 23
132 184 23
225 223 23
225 1 23
151 54 23
225 26 23
225 26 23
225 26 23
255 80 23
176 223 23
225 26 23
190 194 23
194 255 23
190 194 23
1 225 23
194 291 23
291 194 23
190 291 23
291 190 23
40 80 23
194 190 23
190 291 23
194 190 23
194 247 23
194 291 23
194 40 23
194 80 23
40 194 23
194 51 23
26 151 23
132 238 23
208 307 23
209 299 23
173 242 23
242 173 23
253 278 23
278 200 23
278 173 23
299 209 23
173 278 23
202 128 23
202 209 23
202 128 23
209 299 23
278 173 23
202 209 23
202 128 23
189 57 23
278 253 23
